country,core_group,core_group_member_title,mc_member,wg_member,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,wg2_improving_competencies_in_evidence_synthesis,wg3_developing_identifying_new_methods_of_evidence_synthesis,wg4_capacity_building_with_decision_and_policy_makers,wg5_community_building_dissemination_and_communication,assigned_working_groups,country_clean,itc_countries,core_group_status,mc_member_status,wg_member_status,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food_status,wg2_improving_competencies_in_evidence_synthesis_status,wg3_developing_identifying_new_methods_of_evidence_synthesis_status,wg4_capacity_building_with_decision_and_policy_makers_status,wg5_community_building_dissemination_and_communication_status,any_wg
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Türkiye,Yes,No,No,Yes,Yes,No,Yes,No,Yes,True
Albania (AL),False,,False,True,False,False,True,True,False,WG3; WG4,Albania,Yes,No,No,Yes,No,No,Yes,Yes,No,True
Türkiye (TR),False,,False,True,False,False,False,False,True,WG5,Türkiye,Yes,No,No,Yes,No,No,No,No,Yes,True
Serbia (RS),True,WG1 Leader,True,True,True,False,False,False,True,WG1; WG5,Serbia,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,True
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes,No,No,Yes,Yes,No,No,No,No,True
Italy (IT),False,,False,True,True,False,False,False,False,WG1,Italy,No,No,No,Yes,Yes,No,No,No,No,True
Germany (DE),False,,False,True,False,True,False,True,False,WG2; WG4,Germany,No,No,No,Yes,No,Yes,No,Yes,No,True
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes,No,No,Yes,Yes,Yes,No,No,Yes,True
Lithuania (LT),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
Türkiye (TR),False,,False,True,True,False,False,True,False,WG1; WG4,Türkiye,Yes,No,No,Yes,Yes,No,No,Yes,No,True
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes,No,No,Yes,Yes,No,No,No,No,True
Poland (PL),False,,False,True,False,False,False,False,True,WG5,Poland,Yes,No,No,Yes,No,No,No,No,Yes,True
Greece (EL),False,,False,True,False,False,False,True,True,WG4; WG5,Greece,Yes,No,No,Yes,No,No,No,Yes,Yes,True
Albania (AL),False,,False,True,True,False,True,False,False,WG1; WG3,Albania,Yes,No,No,Yes,Yes,No,Yes,No,No,True
United Kingdom (UK),False,,False,True,True,False,False,True,False,WG1; WG4,United Kingdom,No,No,No,Yes,Yes,No,No,Yes,No,True
Türkiye (TR),False,,False,True,False,False,False,True,True,WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,No,Yes,Yes,True
United Kingdom (UK),False,,False,True,True,False,False,False,False,WG1,United Kingdom,No,No,No,Yes,Yes,No,No,No,No,True
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,Yes,Yes,True
Czech Republic (CZ),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Czechia,Yes,No,No,Yes,Yes,No,Yes,Yes,No,True
Sweden (SE),False,,True,True,False,False,True,True,False,WG3; WG4,Sweden,No,No,Yes,Yes,No,No,Yes,Yes,No,True
United Kingdom (UK),False,,True,True,False,False,False,True,True,WG4; WG5,United Kingdom,No,No,Yes,Yes,No,No,No,Yes,Yes,True
France (FR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,France,No,No,No,Yes,Yes,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,False,False,False,True,True,WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,No,Yes,Yes,True
Morocco (MA),False,,False,True,False,False,False,False,True,WG5,Morocco,No,No,No,Yes,No,No,No,No,Yes,True
Albania (AL),True,WG5 Leader,True,True,True,False,False,True,True,WG1; WG4; WG5,Albania,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,True
Türkiye (TR),False,,False,True,True,True,False,False,False,WG1; WG2,Türkiye,Yes,No,No,Yes,Yes,Yes,No,No,No,True
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes,No,No,Yes,No,No,Yes,No,No,True
Italy (IT),False,,False,True,True,False,True,False,False,WG1; WG3,Italy,No,No,No,Yes,Yes,No,Yes,No,No,True
North Macedonia (MK),False,,False,True,False,True,True,False,False,WG2; WG3,North Macedonia,Yes,No,No,Yes,No,Yes,Yes,No,No,True
United Kingdom (UK),,Science Communication Vice-Coordinator,True,True,True,False,False,True,True,WG1; WG4; WG5,United Kingdom,No,Pending,Yes,Yes,Yes,No,No,Yes,Yes,True
Serbia (RS),False,,True,True,True,True,False,False,True,WG1; WG2; WG5,Serbia,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,True
Italy (IT),False,,True,True,True,True,False,True,False,WG1; WG2; WG4,Italy,No,No,Yes,Yes,Yes,Yes,No,Yes,No,True
Egypt (EG),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Egypt,No,No,No,Yes,Yes,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Türkiye,Yes,No,No,Yes,Yes,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes,No,No,Yes,No,No,Yes,No,No,True
Türkiye (TR),False,,False,True,True,True,False,False,False,WG1; WG2,Türkiye,Yes,No,No,Yes,Yes,Yes,No,No,No,True
Türkiye (TR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Türkiye,Yes,No,No,Yes,Yes,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,True,False,False,True,False,WG1; WG4,Türkiye,Yes,No,No,Yes,Yes,No,No,Yes,No,True
European RTD Organisations (XR),False,,False,True,True,False,False,True,False,WG1; WG4,European RTD Organisations,No,No,No,Yes,Yes,No,No,Yes,No,True
Algeria (DZ),False,,False,True,True,False,False,False,False,WG1,Algeria,No,No,No,Yes,Yes,No,No,No,No,True
Georgia (GE),False,,False,True,True,False,False,False,False,WG1,Georgia,Yes,No,No,Yes,Yes,No,No,No,No,True
Kosovo (KV),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Kosovo,No,No,No,Yes,Yes,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,True,False,False,False,False,WG1,Türkiye,Yes,No,No,Yes,Yes,No,No,No,No,True
Germany (DE),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Germany,No,No,No,Yes,Yes,Yes,Yes,No,No,True
Germany (DE),True,WG4 Co-leader,False,True,False,True,False,True,False,WG2; WG4,Germany,No,Yes,No,Yes,No,Yes,No,Yes,No,True
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,Yes,Yes,True
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,Yes,Yes,True
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
Serbia (RS),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Serbia,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
France (FR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,France,No,No,No,Yes,Yes,Yes,Yes,No,No,True
United Kingdom (UK),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,United Kingdom,No,No,No,Yes,Yes,Yes,No,No,Yes,True
Ireland (IE),False,,True,True,False,True,True,True,False,WG2; WG3; WG4,Ireland,No,No,Yes,Yes,No,Yes,Yes,Yes,No,True
Poland (PL),True,WG5 Co-leader,True,True,True,False,False,False,True,WG1; WG5,Poland,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,True
Serbia (RS),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Serbia,Yes,No,No,Yes,Yes,Yes,No,No,Yes,True
Lithuania (LT),False,,False,True,True,False,False,False,False,WG1,Lithuania,Yes,No,No,Yes,Yes,No,No,No,No,True
United Kingdom (UK),False,,False,True,False,False,False,True,False,WG4,United Kingdom,No,No,No,Yes,No,No,No,Yes,No,True
South Africa (ZA),False,,False,True,False,False,False,False,True,WG5,South Africa,No,No,No,Yes,No,No,No,No,Yes,True
Portugal (PT),False,,False,True,True,False,False,True,False,WG1; WG4,Portugal,Yes,No,No,Yes,Yes,No,No,Yes,No,True
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes,No,No,Yes,No,No,Yes,No,No,True
United States (US),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,United States,No,No,No,Yes,No,No,Yes,Yes,Yes,True
France (FR),False,,False,True,True,False,False,False,True,WG1; WG5,France,No,No,No,Yes,Yes,No,No,No,Yes,True
Lithuania (LT),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Lithuania,Yes,No,No,Yes,Yes,No,Yes,Yes,No,True
France (FR),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,France,No,No,No,Yes,Yes,No,Yes,Yes,No,True
Belgium (BE),False,,False,True,False,False,False,True,False,WG4,Belgium,No,No,No,Yes,No,No,No,Yes,No,True
France (FR),,Action Vice Chair (resigning soon),True,True,True,True,True,True,True,WG1; WG2; WG3; WG4; WG5,France,No,Yes But Resigning,Yes,Yes,Yes,Yes,Yes,Yes,Yes,True
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
Italy (IT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Italy,No,No,No,Yes,Yes,Yes,Yes,No,No,True
Germany (DE),False,,True,True,False,False,False,True,False,WG4,Germany,No,No,Yes,Yes,No,No,No,Yes,No,True
Germany (DE),False,,False,True,False,False,True,False,False,WG3,Germany,No,No,No,Yes,No,No,Yes,No,No,True
Germany (DE),False,,False,True,True,False,True,False,False,WG1; WG3,Germany,No,No,No,Yes,Yes,No,Yes,No,No,True
Türkiye (TR),False,,False,True,False,False,False,True,False,WG4,Türkiye,Yes,No,No,Yes,No,No,No,Yes,No,True
North Macedonia (MK),False,,False,True,True,True,False,False,False,WG1; WG2,North Macedonia,Yes,No,No,Yes,Yes,Yes,No,No,No,True
United Kingdom (UK),False,,False,True,False,False,False,True,True,WG4; WG5,United Kingdom,No,No,No,Yes,No,No,No,Yes,Yes,True
Romania (RO),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Romania,Yes,No,No,Yes,Yes,Yes,No,No,Yes,True
Türkiye (TR),False,,False,True,False,True,False,True,True,WG2; WG4; WG5,Türkiye,Yes,No,No,Yes,No,Yes,No,Yes,Yes,True
United Kingdom (UK),False,,False,True,True,True,False,False,False,WG1; WG2,United Kingdom,No,No,No,Yes,Yes,Yes,No,No,No,True
Ireland (IE),False,,False,True,False,False,False,False,True,WG5,Ireland,No,No,No,Yes,No,No,No,No,Yes,True
Nigeria (NG),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Nigeria,No,No,No,Yes,Yes,No,Yes,No,Yes,True
Türkiye (TR),False,,False,True,False,True,True,False,True,WG2; WG3; WG5,Türkiye,Yes,No,No,Yes,No,Yes,Yes,No,Yes,True
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes,No,No,Yes,Yes,No,No,No,No,True
Austria (AT),False,,True,True,True,False,False,False,False,WG1,Austria,No,No,Yes,Yes,Yes,No,No,No,No,True
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes,No,No,Yes,Yes,No,No,No,No,True
Moldova (MD),False,,,True,True,False,False,False,False,WG1,Moldova,Yes,No,Pending,Yes,Yes,No,No,No,No,True
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes,No,No,Yes,No,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes,No,No,Yes,No,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,False,True,True,False,True,WG2; WG3; WG5,Türkiye,Yes,No,No,Yes,No,Yes,Yes,No,Yes,True
United Kingdom (UK),False,,False,True,True,False,True,False,False,WG1; WG3,United Kingdom,No,No,No,Yes,Yes,No,Yes,No,No,True
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes,No,No,Yes,No,No,Yes,No,No,True
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Bosnia and Herzegovina (BA),False,,False,True,False,True,False,False,True,WG2; WG5,Bosnia and Herzegovina,Yes,No,No,Yes,No,Yes,No,No,Yes,True
Türkiye (TR),False,,False,True,False,False,False,False,True,WG5,Türkiye,Yes,No,No,Yes,No,No,No,No,Yes,True
Türkiye (TR),False,,False,True,True,False,False,True,False,WG1; WG4,Türkiye,Yes,No,No,Yes,Yes,No,No,Yes,No,True
Italy (IT),False,,False,True,True,False,True,False,False,WG1; WG3,Italy,No,No,No,Yes,Yes,No,Yes,No,No,True
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes,No,No,Yes,Yes,Yes,No,No,Yes,True
European Commission and EU Agencies (XE),False,,False,True,True,False,True,False,False,WG1; WG3,European Commission and EU Agencies,No,No,No,Yes,Yes,No,Yes,No,No,True
France (FR),False,,False,True,False,True,False,False,False,WG2,France,No,No,No,Yes,No,Yes,No,No,No,True
Türkiye (TR),False,,False,True,False,True,False,False,False,WG2,Türkiye,Yes,No,No,Yes,No,Yes,No,No,No,True
Italy (IT),False,,False,True,True,True,False,True,False,WG1; WG2; WG4,Italy,No,No,No,Yes,Yes,Yes,No,Yes,No,True
Spain (ES),False,,False,True,False,True,True,False,False,WG2; WG3,Spain,No,No,No,Yes,No,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,Yes,Yes,True
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes,No,No,Yes,Yes,No,No,Yes,Yes,True
Lithuania (LT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Lithuania,Yes,No,No,Yes,Yes,Yes,Yes,No,No,True
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes,No,No,Yes,No,No,Yes,Yes,Yes,True
Moldova (MD),False,,True,,False,False,False,False,False,Pending,Moldova,Yes,No,Yes,Pending,No,No,No,No,No,False
Israel (IL),False,,True,,False,False,False,False,False,Pending,Israel,No,No,Yes,Pending,No,No,No,No,No,False
North Macedonia (MK),False,,True,,False,False,False,False,False,Pending,North Macedonia,Yes,No,Yes,Pending,No,No,No,No,No,False
Portugal (PT),False,,True,,False,False,False,False,False,Pending,Portugal,Yes,No,Yes,Pending,No,No,No,No,No,False
