country,core_group,core_group_member_title,mc_member,wg_member,wg1_setting_the_scene_assessing_the_current_state_of_evidence_synthesis_in_agri_food,wg2_improving_competencies_in_evidence_synthesis,wg3_developing_identifying_new_methods_of_evidence_synthesis,wg4_capacity_building_with_decision_and_policy_makers,wg5_community_building_dissemination_and_communication,assigned_working_groups,country_clean,itc_countries
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes
Türkiye (TR),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,False,False,True,WG1; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,True,True,False,True,False,WG1; WG2; WG4,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,False,False,True,WG1; WG5,Türkiye,Yes
Portugal (PT),False,,False,True,False,False,False,True,False,WG4,Portugal,Yes
European RTD Organisations (XR),False,,False,True,True,False,False,True,False,WG1; WG4,European RTD Organisations,No
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Türkiye,Yes
Albania (AL),False,,False,True,False,False,True,True,False,WG3; WG4,Albania,Yes
Türkiye (TR),False,,False,True,False,False,False,False,True,WG5,Türkiye,Yes
Serbia (RS),True,WG1 Leader,True,True,True,False,False,False,True,WG1; WG5,Serbia,Yes
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes
Italy (IT),False,,False,True,True,False,False,False,False,WG1,Italy,No
Germany (DE),False,,False,True,False,True,False,True,False,WG2; WG4,Germany,No
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes
Lithuania (LT),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Lithuania,Yes
Türkiye (TR),False,,False,True,True,False,False,True,False,WG1; WG4,Türkiye,Yes
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes
Poland (PL),False,,False,True,False,False,False,False,True,WG5,Poland,Yes
Greece (EL),False,,False,True,False,False,False,True,True,WG4; WG5,Greece,Yes
Albania (AL),False,,False,True,True,False,True,False,False,WG1; WG3,Albania,Yes
United Kingdom (UK),False,,False,True,True,False,False,True,False,WG1; WG4,United Kingdom,No
Türkiye (TR),False,,False,True,False,False,False,True,True,WG4; WG5,Türkiye,Yes
United Kingdom (UK),False,,False,True,True,False,False,False,False,WG1,United Kingdom,No
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes
Czech Republic (CZ),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Czechia,Yes
Sweden (SE),False,,True,True,False,False,True,True,False,WG3; WG4,Sweden,No
United Kingdom (UK),False,,True,True,False,False,False,True,True,WG4; WG5,United Kingdom,No
France (FR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,France,No
Türkiye (TR),False,,False,True,False,False,False,True,True,WG4; WG5,Türkiye,Yes
Morocco (MA),False,,False,True,False,False,False,False,True,WG5,Morocco,No
Albania (AL),True,WG5 Leader,True,True,True,False,False,True,True,WG1; WG4; WG5,Albania,Yes
Türkiye (TR),False,,False,True,True,True,False,False,False,WG1; WG2,Türkiye,Yes
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes
Italy (IT),False,,False,True,True,False,True,False,False,WG1; WG3,Italy,No
North Macedonia (MK),False,,False,True,False,True,True,False,False,WG2; WG3,North Macedonia,Yes
United Kingdom (UK),False,Science Communication Vice-Coordinator,True,True,True,False,False,True,True,WG1; WG4; WG5,United Kingdom,No
Serbia (RS),False,,True,True,True,True,False,False,True,WG1; WG2; WG5,Serbia,Yes
Italy (IT),False,,True,True,True,True,False,True,False,WG1; WG2; WG4,Italy,No
Egypt (EG),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Egypt,No
Türkiye (TR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes
Türkiye (TR),False,,False,True,True,True,False,False,False,WG1; WG2,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,False,True,False,WG1; WG4,Türkiye,Yes
European RTD Organisations (XR),False,,False,True,True,False,False,True,False,WG1; WG4,European RTD Organisations,No
Algeria (DZ),False,,False,True,True,False,False,False,False,WG1,Algeria,No
Georgia (GE),False,,False,True,True,False,False,False,False,WG1,Georgia,Yes
Kosovo (KV),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Kosovo,No
Türkiye (TR),False,,False,True,True,False,False,False,False,WG1,Türkiye,Yes
Germany (DE),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Germany,No
Germany (DE),True,WG4 Co-leader,False,True,False,True,False,True,False,WG2; WG4,Germany,No
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes
Serbia (RS),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Serbia,Yes
France (FR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,France,No
United Kingdom (UK),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,United Kingdom,No
Ireland (IE),False,,True,True,False,True,True,True,False,WG2; WG3; WG4,Ireland,No
Poland (PL),True,WG5 Co-leader,True,True,True,False,False,False,True,WG1; WG5,Poland,Yes
Serbia (RS),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Serbia,Yes
Lithuania (LT),False,,False,True,True,False,False,False,False,WG1,Lithuania,Yes
United Kingdom (UK),False,,False,True,False,False,False,True,False,WG4,United Kingdom,No
South Africa (ZA),False,,False,True,False,False,False,False,True,WG5,South Africa,No
Portugal (PT),False,,False,True,True,False,False,True,False,WG1; WG4,Portugal,Yes
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes
United States (US),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,United States,No
France (FR),False,,False,True,True,False,False,False,True,WG1; WG5,France,No
Lithuania (LT),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,Lithuania,Yes
France (FR),False,,False,True,True,False,True,True,False,WG1; WG3; WG4,France,No
Belgium (BE),False,,False,True,False,False,False,True,False,WG4,Belgium,No
France (FR),True,Action Vice Chair (resigning soon),True,True,True,True,True,True,True,WG1; WG2; WG3; WG4; WG5,France,No
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes
Italy (IT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Italy,No
Germany (DE),False,,True,True,False,False,False,True,False,WG4,Germany,No
Germany (DE),False,,False,True,False,False,True,False,False,WG3,Germany,No
Germany (DE),False,,False,True,True,False,True,False,False,WG1; WG3,Germany,No
Türkiye (TR),False,,False,True,False,False,False,True,False,WG4,Türkiye,Yes
North Macedonia (MK),False,,False,True,True,True,False,False,False,WG1; WG2,North Macedonia,Yes
United Kingdom (UK),False,,False,True,False,False,False,True,True,WG4; WG5,United Kingdom,No
Romania (RO),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Romania,Yes
Türkiye (TR),False,,False,True,False,True,False,True,True,WG2; WG4; WG5,Türkiye,Yes
United Kingdom (UK),False,,False,True,True,True,False,False,False,WG1; WG2,United Kingdom,No
Ireland (IE),False,,False,True,False,False,False,False,True,WG5,Ireland,No
Nigeria (NG),False,,False,True,True,False,True,False,True,WG1; WG3; WG5,Nigeria,No
Türkiye (TR),False,,False,True,False,True,True,False,True,WG2; WG3; WG5,Türkiye,Yes
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes
Austria (AT),False,,True,True,True,False,False,False,False,WG1,Austria,No
Serbia (RS),False,,False,True,True,False,False,False,False,WG1,Serbia,Yes
Moldova (MD),False,,False,True,True,False,False,False,False,WG1,Moldova,Yes
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes
Türkiye (TR),False,,False,True,False,True,True,False,False,WG2; WG3,Türkiye,Yes
Türkiye (TR),False,,False,True,False,True,True,False,True,WG2; WG3; WG5,Türkiye,Yes
United Kingdom (UK),False,,False,True,True,False,True,False,False,WG1; WG3,United Kingdom,No
Türkiye (TR),False,,False,True,False,False,True,False,False,WG3,Türkiye,Yes
Türkiye (TR),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Türkiye,Yes
Bosnia and Herzegovina (BA),False,,False,True,False,True,False,False,True,WG2; WG5,Bosnia and Herzegovina,Yes
Türkiye (TR),False,,False,True,False,False,False,False,True,WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,False,True,False,WG1; WG4,Türkiye,Yes
Italy (IT),False,,False,True,True,False,True,False,False,WG1; WG3,Italy,No
Türkiye (TR),False,,False,True,True,True,False,False,True,WG1; WG2; WG5,Türkiye,Yes
European Commission and EU Agencies (XE),False,,False,True,True,False,True,False,False,WG1; WG3,European Commission and EU Agencies,No
France (FR),False,,False,True,False,True,False,False,False,WG2,France,No
Türkiye (TR),False,,False,True,False,True,False,False,False,WG2,Türkiye,Yes
Italy (IT),False,,False,True,True,True,False,True,False,WG1; WG2; WG4,Italy,No
Spain (ES),False,,False,True,False,True,True,False,False,WG2; WG3,Spain,No
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes
Türkiye (TR),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Türkiye,Yes
Lithuania (LT),False,,False,True,True,True,True,False,False,WG1; WG2; WG3,Lithuania,Yes
Türkiye (TR),False,,False,True,False,False,True,True,True,WG3; WG4; WG5,Türkiye,Yes
Moldova (MD),False,,True,False,False,False,False,False,False,Pending,Moldova,Yes
Israel (IL),False,,True,False,False,False,False,False,False,Pending,Israel,No
North Macedonia (MK),False,,True,False,False,False,False,False,False,Pending,North Macedonia,Yes
Portugal (PT),False,,True,False,False,False,False,False,False,Pending,Portugal,Yes
Türkiye (TR),False,,False,True,False,False,False,True,True,WG4; WG5,Türkiye,Yes
Portugal (PT),False,,False,True,False,True,False,False,False,WG2,Portugal,Yes
Portugal (PT),False,,False,True,False,True,False,True,False,WG2; WG4,Portugal,Yes
Portugal (PT),False,,False,True,False,True,False,False,False,WG2,Portugal,Yes
Austria (AT),False,,False,True,True,False,False,False,False,WG1,Austria,No
Kosovo (KV),False,,False,True,True,False,False,True,True,WG1; WG4; WG5,Kosovo,No
United Kingdom (UK),True,Action Chair; Grant Holder Scientific Representative,False,True,True,True,True,True,True,WG1; WG2; WG3; WG4; WG5,United Kingdom,No
Georgia (GE),False,,False,False,False,False,False,False,False,Pending,Georgia,Yes
